"ANO / MÊS","UF","NOME MUNICÍPIO","LINGUAGEM CIDADÃ","VALOR TRANSFERIDO"
2018-01-01,"SE","AMPARO DE SAO FRANCISCO","FPM - CF art. 159",538612.72
2018-01-01,"SE","AQUIDABA","FPM - CF art. 159",1077225.39
2018-01-01,"SE","ARACAJU","FPM - CF art. 159",20050541.16
2018-01-01,"SE","ARAUA","FPM - CF art. 159",718150.28
2018-01-01,"SE","AREIA BRANCA","FPM - CF art. 159",1077225.39
2018-01-01,"SE","BARRA DOS COQUEIROS","FPM - CF art. 159",1256762.97
2018-01-01,"SE","BOQUIM","FPM - CF art. 159",1256762.97
2018-01-01,"SE","BREJO GRANDE","FPM - CF art. 159",538612.72
2018-01-01,"SE","CAMPO DO BRITO","FPM - CF art. 159",1077225.39
2018-01-01,"SE","CANHOBA","FPM - CF art. 159",538612.72
2018-01-01,"SE","CANINDE DE SAO FRANCISCO","FPM - CF art. 159",1256762.97
2018-01-01,"SE","CAPELA","FPM - CF art. 159",1436300.52
2018-01-01,"SE","CARIRA","FPM - CF art. 159",1077225.39
2018-01-01,"SE","CARMOPOLIS","FPM - CF art. 159",897687.84
2018-01-01,"SE","CEDRO DE SAO JOAO","FPM - CF art. 159",538612.72
2018-01-01,"SE","CRISTINAPOLIS","FPM - CF art. 159",1077225.39
2018-01-01,"SE","CUMBE","FPM - CF art. 159",538612.72
2018-01-01,"SE","DIVINA PASTORA","FPM - CF art. 159",538612.72
2018-01-01,"SE","ESTANCIA","FPM - CF art. 159",2154450.78
2018-01-01,"SE","FEIRA NOVA","FPM - CF art. 159",538612.72
2018-01-01,"SE","FREI PAULO","FPM - CF art. 159",897687.84
2018-01-01,"SE","GARARU","FPM - CF art. 159",718150.28
2018-01-01,"SE","GENERAL MAYNARD","FPM - CF art. 159",538612.72
2018-01-01,"SE","GRACHO CARDOSO","FPM - CF art. 159",538612.72
2018-01-01,"SE","ILHA DAS FLORES","FPM - CF art. 159",538612.72
