Município;UF;ANO;Mês;1º Decêndio;2º Decêndio;3º Decêndio;Item transferência;Transferência;
Acrelândia;AC;2019;10;10505.48;0;0;CIDE/Combustível;CIDE-Combustíveis;
Acrelândia;AC;2019;10;26931.84;8917.72;0;FPM;FUNDEB;
Acrelândia;AC;2019;10;68.56;27.53;0;IPI-EXP;FUNDEB;
Acrelândia;AC;2019;10;0;0;0;COUN;FUNDEB;
Acrelândia;AC;2019;10;0;0;0;LC 87;FUNDEB;
Acrelândia;AC;2019;10;511.5;14.73;0;ITR;FUNDEB;
Acrelândia;AC;2019;10;4724.5;1993.96;0;IPVA;FUNDEB;
Acrelândia;AC;2019;10;374.72;73.26;0;ITCMD;FUNDEB;
Acrelândia;AC;2019;10;70512.72;82733.41;0;ICMS;FUNDEB;
Acrelândia;AC;2019;10;55631.34;18184.74;0;DEDU;FUNDEB;
Acrelândia;AC;2019;10;164541.67;54483.4;0;FPE;FUNDEB;
Assis Brasil;AC;2019;10;5917.06;0;0;CIDE/Combustível;CIDE-Combustíveis;
Assis Brasil;AC;2019;10;18026.68;5969.04;0;FPM;FUNDEB;
Assis Brasil;AC;2019;10;45.89;18.42;0;IPI-EXP;FUNDEB;
Assis Brasil;AC;2019;10;0;0;0;COUN;FUNDEB;
Assis Brasil;AC;2019;10;0;0;0;LC 87;FUNDEB;
Assis Brasil;AC;2019;10;342.37;9.86;0;ITR;FUNDEB;
Assis Brasil;AC;2019;10;3162.31;1334.66;0;IPVA;FUNDEB;
Assis Brasil;AC;2019;10;250.82;49.04;0;ITCMD;FUNDEB;
Assis Brasil;AC;2019;10;47197.31;55377.16;0;ICMS;FUNDEB;
Assis Brasil;AC;2019;10;33046.71;10898.56;0;DEDU;FUNDEB;
Assis Brasil;AC;2019;10;110135.09;36468.17;0;FPE;FUNDEB;
Brasiléia;AC;2019;10;15795.09;0;0;CIDE/Combustível;CIDE-Combustíveis;
Brasiléia;AC;2019;10;36194.14;11984.68;0;FPM;FUNDEB;
Brasiléia;AC;2019;10;92.13;36.99;0;IPI-EXP;FUNDEB;
Brasiléia;AC;2019;10;0;0;0;COUN;FUNDEB;
Brasiléia;AC;2019;10;0;0;0;LC 87;FUNDEB;
Brasiléia;AC;2019;10;687.41;19.8;0;ITR;FUNDEB;
Brasiléia;AC;2019;10;6349.37;2679.73;0;IPVA;FUNDEB;
Brasiléia;AC;2019;10;503.59;98.45;0;ITCMD;FUNDEB;
Brasiléia;AC;2019;10;94763.2;111186.79;0;ICMS;FUNDEB;
Brasiléia;AC;2019;10;79549.92;25438.8;0;DEDU;FUNDEB;
Brasiléia;AC;2019;10;221130.27;73221.14;0;FPE;FUNDEB;
Brasiléia;AC;2019;10;825.08;414.31;0;CFM;Royalties;
Bujari;AC;2019;10;6551.23;0;0;CIDE/Combustível;CIDE-Combustíveis;
Bujari;AC;2019;10;20029.34;6632.16;0;FPM;FUNDEB;
Bujari;AC;2019;10;50.98;20.47;0;IPI-EXP;FUNDEB;
Bujari;AC;2019;10;0;0;0;COUN;FUNDEB;
