Município;UF;ANO;Mês;1º Decêndio;2º Decêndio;3º Decêndio;Item transferência;Transferência;
Acrelândia;AC;2023;03;456020.76;100523.88;0;FPM;FPM;
Acrelândia;AC;2023;03;90.08;10.1;0;ITR;ITR;
Acrelândia;AC;2023;03;60553.62;13348.26;0;FPM;FUNDEB;
Acrelândia;AC;2023;03;78.75;15.83;0;IPI-EXP;FUNDEB;
Acrelândia;AC;2023;03;21.44;3.87;0;ITR;FUNDEB;
Acrelândia;AC;2023;03;13747.34;4978.95;0;IPVA;FUNDEB;
Acrelândia;AC;2023;03;1287.71;44.62;0;ITCMD;FUNDEB;
Acrelândia;AC;2023;03;58179.66;118475.57;0;ICMS;FUNDEB;
Acrelândia;AC;2023;03;114027.7;25133.47;0;DEDU;FUNDEB;
Acrelândia;AC;2023;03;357330.62;78631.43;0;FPE;FUNDEB;
Assis Brasil;AC;2023;03;273612.47;60314.33;0;FPM;FPM;
Assis Brasil;AC;2023;03;77.49;0;0;ITR;ITR;
Assis Brasil;AC;2023;03;39671.45;8745.06;0;FPM;FUNDEB;
Assis Brasil;AC;2023;03;51.59;10.37;0;IPI-EXP;FUNDEB;
Assis Brasil;AC;2023;03;14.05;2.54;0;ITR;FUNDEB;
Assis Brasil;AC;2023;03;9006.51;3261.93;0;IPVA;FUNDEB;
Assis Brasil;AC;2023;03;843.64;29.23;0;ITCMD;FUNDEB;
Assis Brasil;AC;2023;03;38116.16;77618.77;0;ICMS;FUNDEB;
Assis Brasil;AC;2023;03;68422.47;15078.57;0;DEDU;FUNDEB;
Assis Brasil;AC;2023;03;234103.65;51515.05;0;FPE;FUNDEB;
Brasiléia;AC;2023;03;638429.07;140733.42;0;FPM;FPM;
Brasiléia;AC;2023;03;55.08;0;0;ITR;ITR;
Brasiléia;AC;2023;03;94089.3;20740.77;0;FPM;FUNDEB;
Brasiléia;AC;2023;03;122.36;24.59;0;IPI-EXP;FUNDEB;
Brasiléia;AC;2023;03;33.32;6.01;0;ITR;FUNDEB;
Brasiléia;AC;2023;03;21360.87;7736.38;0;IPVA;FUNDEB;
Brasiléia;AC;2023;03;2000.87;69.33;0;ITCMD;FUNDEB;
Brasiléia;AC;2023;03;90400.6;184089.44;0;ICMS;FUNDEB;
Brasiléia;AC;2023;03;159621.03;35183.34;0;DEDU;FUNDEB;
Brasiléia;AC;2023;03;555226.66;122178.91;0;FPE;FUNDEB;
Bujari;AC;2023;03;364816.62;80419.09;0;FPM;FPM;
