"Mês","Município","Item transferência","Transferência","1º Decêndio","2º Decêndio","3º Decêndio","Valor total"
2023-01-01,"Amparo do São Francisco","CIDE/Combustível","CIDE-Combustíveis",48.08,0,0,48.08
2023-01-01,"Amparo do São Francisco","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Amparo do São Francisco","FPM","FUNDEB",27572.27,10629.36,24606.9,62808.53
2023-01-01,"Amparo do São Francisco","IPI-EXP","FUNDEB",35.68,17.73,9.67,63.08
2023-01-01,"Amparo do São Francisco","ITR","FUNDEB",26.3,1.4,3.49,31.19
2023-01-01,"Amparo do São Francisco","IPVA","FUNDEB",1407.43,3225.44,917.37,5550.24
2023-01-01,"Amparo do São Francisco","ITCMD","FUNDEB",193.88,188.26,68.23,450.37
2023-01-01,"Amparo do São Francisco","ICMS","FUNDEB",15575.36,69767.69,12032.84,97375.89
2023-01-01,"Amparo do São Francisco","DEDU","FUNDEB",109538.69,42359.46,96205.78,248103.93
2023-01-01,"Amparo do São Francisco","FPE","FUNDEB",71859.43,27539.05,63817.85,163216.33
2023-01-01,"Amparo do São Francisco","ANP","Royalties",0,224.18,0,224.18
2023-01-01,"Amparo do São Francisco","FEP","Royalties",0,17409.6,8539.48,25949.08
2023-01-01,"Amparo do São Francisco","LC 176/2020 (ADO25)","LC 176/2020 (ADO25)",0,0,30.79,30.79
2023-01-01,"Amparo do São Francisco","COUN VAAT","FUNDEB",0,0,85216.78,85216.78
2023-01-01,"Aquidabã","CIDE/Combustível","CIDE-Combustíveis",144.92,0,0,144.92
2023-01-01,"Aquidabã","FPM","FPM",876309.55,338875.73,769646.26,1984831.54
2023-01-01,"Aquidabã","ITR","ITR",164.79,5.38,342.28,512.45
2023-01-01,"Aquidabã","FPM","FUNDEB",184411.29,71092.25,164577.98,420081.52
2023-01-01,"Aquidabã","IPI-EXP","FUNDEB",238.61,118.59,64.69,421.89
2023-01-01,"Aquidabã","ITR","FUNDEB",172.15,9.37,23.33,204.85
2023-01-01,"Aquidabã","IPVA","FUNDEB",9212.19,21572.64,6135.62,36920.45
2023-01-01,"Aquidabã","ITCMD","FUNDEB",1269,1259.09,456.32,2984.41
2023-01-01,"Aquidabã","ICMS","FUNDEB",101947.11,466626.43,80479.12,649052.66
2023-01-01,"Aquidabã","DEDU","FUNDEB",219118.57,84720.26,192497.13,496335.96
2023-01-01,"Aquidabã","FPE","FUNDEB",480616.6,184189.08,426832.21,1091637.89
2023-01-01,"Aquidabã","ANP","Royalties",0,291.44,0,291.44
2023-01-01,"Aquidabã","FEP","Royalties",0,34819.2,17078.97,51898.17
2023-01-01,"Aquidabã","LC 176/2020 (ADO25)","LC 176/2020 (ADO25)",0,0,246.04,246.04
2023-01-01,"Aquidabã","COUN VAAT","FUNDEB",0,0,430731.21,430731.21
2023-01-01,"Aracaju","CIDE/Combustível","CIDE-Combustíveis",2596.54,0,0,2596.54
2023-01-01,"Aracaju","FPM","FPM",16992916.52,6477123.09,14557734.41,38027774.02
2023-01-01,"Aracaju","ITR","ITR",4031.63,136.71,206.19,4374.53
2023-01-01,"Aracaju","FPM","FUNDEB",1394152.01,537458.48,1244211.99,3175822.48
2023-01-01,"Aracaju","IPI-EXP","FUNDEB",1803.88,896.54,489.03,3189.45
2023-01-01,"Aracaju","ITR","FUNDEB",1237.57,70.87,176.4,1484.84
2023-01-01,"Aracaju","IPVA","FUNDEB",66224.31,163089.5,46385.36,275699.17
2023-01-01,"Aracaju","ITCMD","FUNDEB",9122.52,9518.76,3449.76,22091.04
2023-01-01,"Aracaju","ICMS","FUNDEB",732874.39,3527702.67,608423.3,4869000.36
2023-01-01,"Aracaju","DEDU","FUNDEB",4249237.03,1619314.93,3639485.13,9508037.09
2023-01-01,"Aracaju","FPE","FUNDEB",3633468.61,1392472.18,3226857.8,8252798.59
2023-01-01,"Aracaju","ANP","Royalties",0,4900.16,193540.21,198440.37
2023-01-01,"Aracaju","FEP","Royalties",0,677658.03,328720.83,1006378.86
2023-01-01,"Aracaju","LC 176/2020 (ADO25)","LC 176/2020 (ADO25)",0,0,37789.01,37789.01
2023-01-01,"Aracaju","COUN VAAR","FUNDEB",0,0,121357.19,121357.19
2023-01-01,"Arauá","CIDE/Combustível","CIDE-Combustíveis",83.17,0,0,83.17
2023-01-01,"Arauá","FPM","FPM",584206.37,225917.16,513097.52,1323221.05
2023-01-01,"Arauá","ITR","ITR",315.76,0,14.49,330.25
2023-01-01,"Arauá","FPM","FUNDEB",95357.61,36761.23,85101.97,217220.81
2023-01-01,"Arauá","IPI-EXP","FUNDEB",123.38,61.32,33.45,218.15
2023-01-01,"Arauá","ITR","FUNDEB",95.16,4.85,12.07,112.08
2023-01-01,"Arauá","IPVA","FUNDEB",5092.32,11155.04,3172.68,19420.04
2023-01-01,"Arauá","ITCMD","FUNDEB",701.48,651.07,235.96,1588.51
2023-01-01,"Arauá","ICMS","FUNDEB",56354.42,241288.82,41615.11,339258.35
2023-01-01,"Arauá","DEDU","FUNDEB",146130.52,56479.27,128277.99,330887.78
2023-01-01,"Arauá","FPE","FUNDEB",248523.03,95242.71,220711.55,564477.29
2023-01-01,"Arauá","ANP","Royalties",0,235.39,0,235.39
2023-01-01,"Arauá","FEP","Royalties",0,23212.8,11385.98,34598.78
2023-01-01,"Arauá","LC 176/2020 (ADO25)","LC 176/2020 (ADO25)",0,0,85.65,85.65
2023-01-01,"Arauá","COUN VAAT","FUNDEB",0,0,222246.81,222246.81
2023-01-01,"Areia Branca","CIDE/Combustível","CIDE-Combustíveis",136.41,0,0,136.41
2023-01-01,"Areia Branca","FPM","FPM",876309.55,338875.73,769646.26,1984831.54
2023-01-01,"Areia Branca","ITR","ITR",196.75,24.8,0,221.55
